customer_id,total_transactions,total_amount,avg_transaction_amount
CUST1080,12,511407.83,42617.31916666667
CUST1081,26,1197954.62,46075.1776923077
CUST1082,25,1237847.04,49513.8816
CUST1083,21,1104710.03,52605.23952380953
CUST1084,19,761546.36,40081.38736842105
CUST1085,12,579730.81,48310.90083333334
CUST1086,25,1248249.03,49929.9612
CUST1087,14,820698.65,58621.33214285714
CUST1088,17,723351.78,42550.10470588235
CUST1089,19,972481.89,51183.25736842105
CUST109,23,1405672.97,61116.21608695652
CUST1090,24,849139.81,35380.82541666667
CUST1091,27,1338941.75,49590.43518518518
CUST1092,23,1210348.0,52623.82608695652
CUST1093,14,611126.4,43651.885714285716
CUST1094,18,932963.4400000001,51831.30222222223
CUST1095,20,1011577.2,50578.86
CUST1096,21,845136.5,40244.59523809524
CUST1097,23,1211768.6,52685.59130434783
CUST1098,17,1019879.0,59992.882352941175
CUST1099,19,997857.32,52518.80631578947
CUST11,24,1134520.09,47271.67041666667
CUST110,24,978982.22,40790.925833333335
CUST1100,18,991107.54,55061.53
CUST1101,20,1110344.66,55517.23299999999
CUST1102,12,547934.65,45661.22083333333
CUST1103,13,628848.44,48372.95692307692
CUST1104,14,867907.78,61993.41285714286
CUST1105,28,1224805.08,43743.03857142857
CUST1106,16,773159.92,48322.495
CUST1107,19,1057533.95,55659.68157894737
CUST1108,12,639417.8200000001,53284.818333333336
CUST1109,18,825913.11,45884.06166666667
CUST111,22,1131472.73,51430.578636363636
CUST1110,24,1347662.14,56152.589166666665
CUST1111,20,977004.82,48850.240999999995
CUST1112,20,1004290.62,50214.531
CUST1113,25,1256289.28,50251.5712
CUST1114,33,1726687.71,52323.869999999995
CUST1115,30,1373283.84,45776.128000000004
CUST1116,18,916902.75,50939.041666666664
CUST1117,27,1465092.54,54262.68666666667
CUST1118,28,1395151.99,49826.856785714284
CUST1119,11,486678.09,44243.46272727273
CUST112,24,1324014.06,55167.2525
CUST1120,14,727445.92,51960.42285714286
CUST1121,21,970603.87,46219.2319047619
CUST1122,22,1231948.02,55997.637272727276
CUST1123,22,1043014.99,47409.77227272727
CUST1124,23,1005595.03,43721.523043478264
CUST1125,16,1036479.6699999999,64779.979374999995
CUST1126,26,1413102.75,54350.105769230766
CUST1127,29,1299793.82,44820.47655172414
CUST1128,24,911852.84,37993.86833333333
CUST1129,21,1169797.33,55704.63476190477
CUST113,22,1108287.85,50376.72045454546
CUST1130,20,958250.1,47912.505
CUST1131,12,376063.87,31338.655833333334
CUST1132,27,1363183.25,50488.26851851852
CUST1133,18,1036123.6699999999,57562.426111111105
CUST1134,28,1733399.8800000001,61907.13857142858
CUST1135,16,880793.73,55049.608125
CUST1136,17,832809.33,48988.784117647054
CUST1137,19,971189.43,51115.23315789474
CUST1138,18,733696.72,40760.928888888884
CUST1139,20,834037.31,41701.8655
CUST114,23,1335006.16,58043.74608695652
CUST1140,23,1102577.59,47938.15608695652
CUST1141,15,678262.4,45217.49333333333
CUST1142,19,1129471.98,59445.893684210525
CUST1143,20,1331735.47,66586.7735
CUST1144,13,638593.06,49122.54307692308
CUST1145,24,1299647.92,54151.996666666666
CUST1146,20,680735.84,34036.792
CUST1147,20,1087553.38,54377.668999999994
CUST1148,17,834665.7,49097.98235294117
CUST1149,21,1099983.7,52380.17619047619
CUST115,14,516449.24,36889.23142857143
CUST1150,25,1171263.3699999999,46850.534799999994
CUST1151,26,1298637.68,49947.60307692307
CUST1152,19,859890.36,45257.38736842105
CUST1153,19,981445.54,51655.02842105264
CUST1154,21,900962.49,42902.97571428571
CUST1155,15,714625.51,47641.700666666664
CUST1156,15,775777.22,51718.48133333333
CUST1157,29,1328765.6099999999,45819.503793103446
CUST1158,12,451019.35,37584.94583333333
CUST1159,23,1073421.1,46670.48260869565
CUST116,19,735242.09,38696.95210526315
CUST1160,23,1089828.8900000001,47383.8647826087
CUST1161,27,1566237.93,58008.81222222222
CUST1162,20,966560.49,48328.0245
CUST1163,19,1080089.25,56846.80263157895
CUST1164,21,1195435.42,56925.49619047619
CUST1165,35,1832409.4,52354.55428571429
CUST1166,25,1018299.92,40731.9968
CUST1167,13,736637.3,56664.407692307694
CUST1168,29,1265972.84,43654.23586206897
CUST1169,23,891190.31,38747.4047826087
CUST117,23,1288453.81,56019.73086956522
CUST1170,21,1042932.14,49663.43523809524
CUST1171,20,1027759.36,51387.968
CUST1172,17,777933.18,45760.77529411765
CUST1173,30,1422277.45,47409.24833333333
CUST1174,28,1341696.99,47917.74964285714
CUST1175,20,1095637.65,54781.88249999999
CUST1176,16,563431.47,35214.466875
CUST1177,16,862530.95,53908.184375
CUST1178,24,1172212.5,48842.1875
CUST1179,25,1355112.03,54204.4812
CUST118,25,1360796.76,54431.8704
CUST1180,20,1140614.27,57030.7135
CUST1181,15,619647.67,41309.84466666667
CUST1182,19,907104.32,47742.332631578945
CUST1183,19,1269246.6400000001,66802.45473684212
CUST1184,18,887931.12,49329.50666666667
CUST1185,16,937185.87,58574.116875
CUST1186,23,1334033.4,58001.452173913036
CUST1187,23,1054969.1,45868.22173913044
CUST1188,27,1532056.43,56742.83074074074
CUST1189,22,1137214.99,51691.590454545454
CUST119,21,876397.72,41733.22476190476
CUST1190,14,647914.05,46279.575000000004
CUST1191,15,750791.15,50052.74333333333
CUST1192,18,954154.96,53008.608888888884
CUST1193,14,772013.78,55143.84142857143
CUST1194,12,722217.9299999999,60184.82749999999
CUST1195,15,619056.98,41270.46533333333
CUST1196,18,864400.12,48022.22888888889
CUST1197,15,652466.6,43497.77333333333
CUST1198,17,838338.78,49314.04588235294
CUST1199,23,1033177.15,44920.745652173915
CUST12,21,1286183.7,61246.84285714285
CUST120,17,614927.0,36172.17647058824
CUST1200,27,1499281.8800000001,55528.95851851852
CUST1201,17,621031.35,36531.25588235294
CUST1202,17,852279.93,50134.11352941177
CUST1203,18,1007302.43,55961.24611111111
CUST1204,18,937545.22,52085.845555555556
CUST1205,15,687558.84,45837.256
CUST1206,25,1286436.87,51457.4748
CUST1207,17,948856.51,55815.08882352941
CUST1208,19,933689.11,49141.532105263155
CUST1209,24,1218342.98,50764.29083333333
CUST121,29,1193954.68,41170.85103448276
CUST1210,15,768181.16,51212.077333333335
CUST1211,24,1011864.66,42161.027500000004
CUST1212,22,957769.61,43534.98227272727
CUST1213,22,977830.29,44446.83136363637
CUST1214,17,918671.19,54039.48176470588
CUST1215,13,731828.55,56294.50384615385
CUST1216,17,873770.91,51398.288823529416
CUST1217,19,1108373.07,58335.424736842106
CUST1218,20,979109.19,48955.4595
CUST1219,20,1039497.3300000001,51974.866500000004
CUST122,16,957734.11,59858.381875
CUST1220,17,792739.1100000001,46631.712352941184
CUST1221,23,1329432.46,57801.41130434782
CUST1222,25,1290768.12,51630.7248
CUST1223,21,1018916.49,48519.83285714286
CUST1224,23,947548.0700000001,41197.742173913044
CUST1225,25,1275151.67,51006.0668
CUST1226,22,1138080.2,51730.91818181818
CUST1227,13,736849.0,56680.692307692305
CUST1228,21,1108935.15,52806.43571428571
CUST1229,17,1071470.67,63027.68647058823
CUST123,20,1081501.08,54075.054000000004
CUST1230,17,707062.53,41591.913529411766
CUST1231,19,1012994.4099999999,53315.49526315789
CUST1232,22,1196586.08,54390.27636363637
CUST1233,18,932145.81,51785.878333333334
CUST1234,22,981864.45,44630.20227272727
CUST1235,16,786700.96,49168.81
CUST1236,17,861863.56,50697.85647058824
CUST1237,23,1189397.06,51712.91565217391
CUST1238,22,1454736.44,66124.38363636364
CUST1239,18,979132.82,54396.26777777777
CUST124,27,1483882.22,54958.60074074074
CUST1240,23,898181.1900000001,39051.356086956526
CUST1241,15,957436.41,63829.094000000005
CUST1242,28,1350398.93,48228.533214285715
CUST1243,24,1069366.03,44556.917916666665
CUST1244,20,806614.31,40330.715500000006
CUST1245,16,789623.49,49351.468125
CUST1246,26,1107009.44,42577.28615384615
CUST1247,14,623501.12,44535.794285714284
CUST1248,27,1738466.11,64387.63370370371
CUST1249,13,702511.54,54039.349230769236
CUST125,23,1235081.71,53699.20478260869
CUST1250,13,644610.3,49585.407692307694
CUST1251,13,525881.42,40452.416923076926
CUST1252,20,883249.92,44162.496
CUST1253,17,815811.32,47988.90117647059
CUST1254,9,320629.49,35625.49888888889
CUST1255,17,674809.89,39694.699411764705
CUST1256,20,1049907.44,52495.371999999996
CUST1257,29,1700870.56,58650.708965517246
CUST1258,23,1132897.49,49256.41260869565
CUST1259,18,1029821.47,57212.303888888884
CUST126,22,1054765.26,47943.87545454546
CUST1260,19,844529.12,44448.901052631576
CUST1261,20,859145.5800000001,42957.279
CUST1262,18,915422.24,50856.79111111111
CUST1263,27,1344422.49,49793.42555555556
CUST1264,14,796696.0700000001,56906.86214285715
CUST1265,15,759270.25,50618.01666666667
CUST1266,15,766618.73,51107.91533333333
CUST1267,19,767524.33,40396.01736842105
CUST1268,15,711395.59,47426.37266666666
CUST1269,17,923505.81,54323.871176470595
CUST127,18,870520.83,48362.26833333333
CUST1270,15,933563.29,62237.55266666667
CUST1271,30,1406703.42,46890.113999999994
CUST1272,20,1273806.26,63690.313
CUST1273,20,1065915.58,53295.779
CUST1274,12,514781.76,42898.48
CUST1275,19,884296.96,46541.94526315789
CUST1276,20,894269.35,44713.4675
CUST1277,19,931372.51,49019.60578947369
CUST1278,19,865239.23,45538.906842105265
CUST1279,21,973525.73,46358.3680952381
CUST128,16,822454.66,51403.41625
CUST1280,23,1170185.87,50877.64652173914
CUST1281,26,1373902.8800000001,52842.418461538466
CUST1282,26,1356038.48,52155.32615384615
CUST1283,19,1155402.32,60810.64842105263
CUST1284,15,606009.26,40400.617333333335
CUST1285,20,818495.29,40924.764500000005
CUST1286,18,898916.45,49939.802777777775
CUST1287,21,806533.74,38406.36857142857
CUST1288,19,870337.96,45807.26105263158
CUST1289,19,768442.83,40444.359473684206
CUST129,21,897628.72,42744.22476190476
CUST1290,24,1523248.23,63468.67625
CUST1291,27,1377120.34,51004.45703703704
CUST1292,19,1038169.24,54640.48631578947
CUST1293,20,1069612.25,53480.6125
CUST1294,26,1399795.77,53838.29884615385
CUST1295,18,842588.66,46810.48111111111
CUST1296,17,970917.18,57112.77529411765
CUST1297,12,579463.68,48288.64000000001
CUST1298,20,901269.49,45063.4745
CUST1299,19,845679.24,44509.433684210526
CUST13,19,1035658.86,54508.361052631575
CUST130,14,689619.32,49258.52285714285
CUST1300,12,627750.74,52312.56166666667
CUST1301,22,1262562.45,57389.20227272727
CUST1302,26,1152290.12,44318.850769230776
CUST1303,10,627352.87,62735.287
CUST1304,29,1489954.75,51377.75
CUST1305,20,900169.94,45008.496999999996
CUST1306,21,925818.14,44086.578095238096
CUST1307,22,1031643.87,46892.90318181818
CUST1308,14,646795.32,46199.66571428571
CUST1309,23,1197723.19,52074.92130434782
CUST131,16,766312.85,47894.553125
CUST1310,12,589127.39,49093.949166666665
CUST1311,23,1211238.42,52662.53999999999
CUST1312,23,820451.3,35671.79565217392
CUST1313,31,1837441.51,59272.30677419355
CUST1314,18,919555.79,51086.43277777778
CUST1315,15,686911.29,45794.086
CUST1316,22,1072247.95,48738.54318181818
CUST1317,18,1066903.15,59272.397222222215
CUST1318,9,423105.37,47011.707777777774
CUST1319,18,1126753.51,62597.417222222226
CUST132,20,791135.01,39556.7505
CUST1320,17,793283.86,46663.75647058823
CUST1321,18,759927.63,42218.20166666667
CUST1322,27,1514971.9,56110.07037037037
CUST1323,29,1233603.55,42538.05344827587
CUST1324,22,1191833.8,54174.26363636364
CUST1325,28,1288131.57,46004.69892857143
CUST1326,20,937848.91,46892.4455
CUST1327,17,618773.44,36398.43764705882
CUST1328,23,844707.14,36726.39739130435
CUST1329,19,1187324.84,62490.78105263158
CUST133,14,773264.8300000001,55233.202142857146
CUST1330,24,1131263.79,47135.99125
CUST1331,16,1032814.52,64550.9075
CUST1332,23,1267765.26,55120.22869565217
CUST1333,28,1301928.79,46497.45678571429
CUST1334,24,953197.87,39716.57791666667
CUST1335,22,973994.25,44272.46590909091
CUST1336,17,837735.3099999999,49278.54764705882
CUST1337,23,1245298.34,54143.40608695652
CUST1338,22,929950.94,42270.49727272727
CUST1339,17,820755.9299999999,48279.76058823529
CUST134,20,1051304.52,52565.226
CUST1340,13,701637.56,53972.12
CUST1341,21,900423.43,42877.30619047619
CUST1342,20,840293.76,42014.688
CUST1343,17,872120.19,51301.18764705882
CUST1344,17,1042994.43,61352.61352941177
CUST1345,19,918406.8200000001,48337.20105263158
CUST1346,22,1203876.66,54721.66636363636
CUST1347,18,775800.54,43100.03
CUST1348,23,1401717.54,60944.24086956522
CUST1349,20,1189169.44,59458.471999999994
CUST135,22,1133841.27,51538.23954545455
CUST1350,26,1399542.92,53828.57384615384
CUST1351,14,704517.47,50322.67642857142
CUST1352,18,1017156.28,56508.682222222225
CUST1353,16,846192.11,52887.006875
CUST1354,12,785049.55,65420.79583333334
CUST1355,22,1145600.8699999999,52072.766818181815
CUST1356,22,1054499.44,47931.792727272725
CUST1357,17,982808.8099999999,57812.28294117647
CUST1358,20,853779.16,42688.958
CUST1359,14,561158.6900000001,40082.76357142858
CUST136,16,837261.5499999999,52328.846874999996
CUST1360,20,1079300.33,53965.016500000005
CUST1361,22,1062912.29,48314.195
CUST1362,25,1345568.11,53822.72440000001
CUST1363,22,1215690.32,55258.65090909091
CUST1364,19,776251.25,40855.32894736842
CUST1365,18,1144174.6,63565.25555555556
CUST1366,13,558976.8,42998.21538461539
CUST1367,15,680708.54,45380.56933333333
CUST1368,23,1270751.1,55250.047826086964
CUST1369,18,914134.38,50785.24333333333
CUST137,19,946603.61,49821.24263157895
CUST1370,28,1436783.96,51313.712857142855
CUST1371,17,868976.22,51116.248235294115
CUST1372,21,1066401.93,50781.044285714284
CUST1373,19,837932.76,44101.724210526314
CUST1374,15,831850.16,55456.67733333333
CUST1375,28,1260444.96,45015.89142857143
CUST1376,14,649359.33,46382.809285714284
CUST1377,22,1025715.29,46623.42227272727
CUST1378,17,790168.54,46480.50235294118
CUST1379,17,782804.17,46047.30411764706
CUST138,16,803286.1900000001,50205.386875000004
CUST1380,16,849311.26,53081.95375
CUST1381,14,585541.64,41824.40285714286
CUST1382,24,1025496.4,42729.01666666667
CUST1383,20,802716.81,40135.840500000006
CUST1384,20,1090563.21,54528.1605
CUST1385,19,809604.35,42610.755263157895
CUST1386,19,1081246.94,56907.73368421052
CUST1387,23,1072664.04,46637.56695652174
CUST1388,16,707303.4500000001,44206.465625000004
CUST1389,20,975169.47,48758.4735
CUST139,26,1469701.91,56526.996538461535
CUST1390,14,763797.57,54556.96928571428
CUST1391,18,1023884.41,56882.46722222222
CUST1392,16,656911.74,41056.98375
CUST1393,28,1531191.1199999999,54685.39714285714
CUST1394,8,441816.96,55227.12
CUST1395,11,555345.99,50485.99909090909
CUST1396,21,1006381.15,47922.9119047619
CUST1397,21,1087239.75,51773.32142857143
CUST1398,15,786053.73,52403.582
CUST1399,18,946033.37,52557.40944444444
CUST14,23,1067414.48,46409.325217391306
CUST140,17,821979.75,48351.75
CUST1400,21,1030094.64,49052.125714285714
CUST1401,21,1172282.8800000001,55822.99428571429
CUST1402,20,1076784.07,53839.2035
CUST1403,23,945383.0800000001,41103.61217391305
CUST1404,17,1013836.85,59637.461764705884
CUST1405,22,1037636.66,47165.30272727273
CUST1406,18,909022.45,50501.24722222222
CUST1407,15,604326.16,40288.41066666667
CUST1408,18,767449.45,42636.080555555556
CUST1409,20,967763.42,48388.171
CUST141,15,964820.87,64321.39133333333
CUST1410,26,1424708.49,54796.48038461538
CUST1411,29,1400912.73,48307.33551724138
CUST1412,17,896872.48,52757.20470588235
CUST1413,22,1134063.66,51548.348181818175
CUST1414,12,651910.58,54325.88166666666
CUST1415,17,814101.9,47888.34705882353
CUST1416,17,722914.02,42524.35411764706
CUST1417,19,926413.77,48758.61947368421
CUST1418,22,931168.98,42325.862727272724
CUST1419,21,987911.15,47043.38809523809
CUST142,16,1023242.03,63952.626875
CUST1420,23,1073583.86,46677.55913043478
CUST1421,23,1270070.93,55220.4752173913
CUST1422,30,1575819.8900000001,52527.32966666667
CUST1423,25,1075449.36,43017.97440000001
CUST1424,23,1430653.85,62202.34130434783
CUST1425,15,821980.94,54798.72933333333
CUST1426,15,741256.09,49417.07266666667
CUST1427,23,1257513.2,54674.48695652174
CUST1428,26,1260843.59,48493.98423076923
CUST1429,18,857352.28,47630.682222222225
CUST143,18,661485.16,36749.17555555556
CUST1430,25,1447653.19,57906.1276
CUST1431,19,842976.78,44367.19894736842
CUST1432,12,507136.47,42261.3725
CUST1433,16,873523.08,54595.1925
CUST1434,28,1521878.97,54352.82035714285
CUST1435,16,974526.49,60907.905625
CUST1436,13,593395.02,45645.770769230774
CUST1437,23,1002239.3099999999,43575.62217391304
CUST1438,20,972755.35,48637.7675
CUST1439,21,1155987.28,55047.013333333336
CUST144,20,1011545.5599999999,50577.278
CUST1440,17,1063733.3,62572.54705882353
CUST1441,22,998997.1000000001,45408.9590909091
CUST1442,19,848970.92,44682.68
CUST1443,14,691869.51,49419.250714285714
CUST1444,21,1075561.89,51217.23285714285
CUST1445,16,747820.18,46738.76125
CUST1446,14,549006.48,39214.74857142857
CUST1447,27,1334371.66,49421.17259259259
CUST1448,18,1072822.65,59601.25833333333
CUST1449,16,947789.3300000001,59236.833125000005
CUST145,25,1221273.79,48850.9516
CUST1450,17,799574.6,47033.799999999996
CUST1451,14,694530.86,49609.34714285714
CUST1452,20,1209479.98,60473.998999999996
CUST1453,18,735889.1900000001,40882.73277777778
CUST1454,21,1104632.14,52601.53047619047
CUST1455,18,919227.56,51068.19777777778
CUST1456,21,963973.1,45903.48095238095
CUST1457,27,1027127.55,38041.76111111111
CUST1458,20,1032025.41,51601.2705
CUST1459,20,1087808.79,54390.4395
CUST146,24,1204849.14,50202.04749999999
CUST1460,16,1033564.5,64597.78125
CUST1461,18,928365.3099999999,51575.85055555555
CUST1462,23,873392.5,37973.586956521736
CUST1463,24,1171451.83,48810.49291666667
CUST1464,21,1012574.13,48217.815714285716
CUST1465,16,814490.2,50905.6375
CUST1466,19,1012531.26,53291.11894736842
CUST1467,18,782746.55,43485.919444444444
CUST1468,22,1045054.7699999999,47502.48954545454
CUST1469,22,1393625.88,63346.630909090905
CUST147,21,881280.16,41965.72190476191
CUST1470,22,730362.6799999999,33198.303636363635
CUST1471,20,919398.25,45969.9125
CUST1472,21,992985.7699999999,47285.03666666666
CUST1473,19,959773.3500000001,50514.38684210527
CUST1474,15,944120.15,62941.34333333334
CUST1475,18,1063532.73,59085.151666666665
CUST1476,14,477795.25,34128.232142857145
CUST1477,11,490819.72,44619.97454545454
CUST1478,19,1064665.1,56035.0052631579
CUST1479,19,1049225.57,55222.39842105263
CUST148,25,1326163.44,53046.537599999996
CUST1480,22,1098687.33,49940.33318181818
CUST1481,28,1438630.4,51379.65714285714
CUST1482,20,1076508.89,53825.4445
CUST1483,19,779205.6799999999,41010.825263157894
CUST1484,14,655642.76,46831.625714285714
CUST1485,16,918964.35,57435.271875
CUST1486,17,769962.46,45291.909411764704
CUST1487,19,965624.86,50822.361052631575
CUST1488,18,1021959.74,56775.54111111111
CUST1489,20,1323124.03,66156.2015
CUST149,22,861100.81,39140.945909090915
CUST1490,16,676625.06,42289.06625
CUST1491,19,942703.97,49615.99842105263
CUST1492,22,846751.44,38488.70181818181
CUST1493,25,1131489.8,45259.592000000004
CUST1494,14,688597.9299999999,49185.56642857142
CUST1495,15,1110727.24,74048.48266666666
CUST1496,12,428486.68,35707.223333333335
CUST1497,20,960601.14,48030.057
CUST1498,19,752246.93,39591.94368421053
CUST1499,17,783501.7,46088.33529411764
CUST15,14,655723.68,46837.40571428572
CUST150,25,1206345.26,48253.8104
CUST1500,12,695377.0,57948.083333333336
CUST1501,20,900800.33,45040.0165
CUST1502,19,906369.43,47703.65421052632
CUST1503,23,1144733.07,49771.00304347826
CUST1504,23,1078312.1300000001,46883.136086956525
CUST1505,15,865301.05,57686.73666666667
CUST1506,24,1495098.18,62295.7575
CUST1507,15,716340.89,47756.05933333333
CUST1508,23,1291798.27,56165.142173913046
CUST1509,25,1180271.53,47210.8612
CUST151,22,958228.74,43555.851818181814
CUST1510,22,1243968.97,56544.04409090909
CUST1511,19,977577.0599999999,51451.42421052631
CUST1512,32,1734362.0,54198.8125
CUST1513,15,780272.12,52018.14133333333
CUST1514,21,1121956.22,53426.486666666664
CUST1515,22,1223032.29,55592.37681818182
CUST1516,13,529657.67,40742.8976923077
CUST1517,23,995373.34,43277.101739130434
CUST1518,20,1018748.96,50937.448
CUST1519,19,1041527.61,54817.24263157895
CUST152,17,949309.92,55841.76
CUST1520,21,1031910.75,49138.607142857145
CUST1521,26,1234394.39,47476.707307692304
CUST1522,26,1349429.12,51901.12
CUST1523,22,1149552.75,52252.39772727273
CUST1524,26,1319244.48,50740.17230769231
CUST1525,16,737521.67,46095.104375
CUST1526,19,1115102.23,58689.59105263158
CUST1527,19,980282.76,51593.829473684214
CUST1528,24,1427161.82,59465.075833333336
CUST1529,29,1444316.56,49804.01931034483
CUST153,18,960102.34,53339.01888888889
CUST1530,23,1017795.78,44251.99043478261
CUST1531,20,680823.79,34041.1895
CUST1532,26,1355992.46,52153.556153846155
CUST1533,13,544868.29,41912.945384615385
CUST1534,12,552593.63,46049.46916666667
CUST1535,21,1012616.15,48219.816666666666
CUST1536,19,971259.2000000001,51118.905263157896
CUST1537,22,1060461.46,48202.79363636363
CUST1538,15,930026.26,62001.75066666667
CUST1539,19,1004324.92,52859.20631578947
CUST154,20,842341.32,42117.066
CUST1540,22,1160775.47,52762.52136363636
CUST1541,16,1009037.16,63064.8225
CUST1542,14,752346.09,53739.006428571425
CUST1543,24,1049461.49,43727.56208333333
CUST1544,21,1208183.63,57532.5538095238
CUST1545,16,734957.88,45934.8675
CUST1546,30,1368633.52,45621.117333333335
CUST1547,13,841600.47,64738.49769230769
CUST1548,18,994745.47,55263.63722222222
CUST1549,26,1242245.84,47778.68615384616
CUST155,23,1091307.53,47448.15347826087
CUST1550,32,1523325.97,47603.9365625
CUST1551,16,903280.02,56455.00125
CUST1552,16,801996.72,50124.795
CUST1553,21,935821.03,44562.90619047619
CUST1554,22,1044218.83,47464.49227272727
CUST1555,21,1125804.97,53609.76047619047
CUST1556,17,688695.52,40511.50117647059
CUST1557,18,942334.33,52351.90722222222
CUST1558,18,996195.95,55344.21944444444
CUST1559,18,944541.06,52474.503333333334
CUST156,19,957079.35,50372.597368421055
CUST1560,22,1029272.59,46785.11772727273
CUST1561,19,941996.85,49578.78157894737
CUST1562,22,1060032.73,48183.30590909091
CUST1563,19,1102716.26,58037.69789473684
CUST1564,23,1098559.12,47763.44
CUST1565,22,1131974.03,51453.365
CUST1566,24,965386.6,40224.441666666666
CUST1567,22,1220658.84,55484.49272727273
CUST1568,19,1204482.8800000001,63393.83578947369
CUST1569,29,1579075.58,54450.88206896552
CUST157,16,775899.69,48493.730625
CUST1570,21,913438.99,43497.09476190476
CUST1571,16,904001.8,56500.1125
CUST1572,11,499142.67000000004,45376.60636363637
CUST1573,20,909076.6,45453.83
CUST1574,21,1017461.13,48450.53
CUST1575,13,515550.78,39657.75230769231
CUST1576,28,1372129.85,49004.637500000004
CUST1577,20,1076828.1099999999,53841.40549999999
CUST1578,21,1009744.24,48083.05904761905
CUST1579,18,922632.9099999999,51257.383888888886
CUST158,15,636494.96,42432.99733333333
CUST1580,21,1124902.57,53566.78904761905
CUST1581,21,1017466.93,48450.80619047619
CUST1582,18,869659.57,48314.42055555555
CUST1583,24,1099184.29,45799.34541666667
CUST1584,15,686049.47,45736.63133333333
CUST1585,10,299485.95,29948.595
CUST1586,23,1261303.2,54839.269565217386
CUST1587,23,1267358.1400000001,55102.52782608696
CUST1588,21,937179.43,44627.59190476191
CUST1589,21,926017.11,44096.05285714286
CUST159,21,876957.27,41759.87
CUST1590,24,1157001.01,48208.37541666667
