transaction_id,customer_id,merchant_id,amount,country,payment_method,timestamp
TXN43,CUST4432,MER295,76919.53,India,Debit Card,2026-06-13 06:15:05.550702
TXN44,CUST156,MER463,78199.21,Germany,Net Banking,2026-06-05 12:51:36.089625
TXN46,CUST2581,MER157,55528.96,Germany,Debit Card,2026-05-31 06:25:59.968082
TXN47,CUST364,MER489,96514.26,UK,UPI,2026-06-05 05:13:29.982049
TXN49,CUST419,MER182,95425.03,Singapore,UPI,2026-06-13 05:53:53.691285
TXN50,CUST821,MER257,55359.36,UK,Credit Card,2026-05-22 22:42:25.704718
TXN51,CUST2315,MER148,91391.58,Germany,UPI,2026-05-24 03:35:27.399218
TXN53,CUST510,MER487,96855.64,India,Debit Card,2026-06-13 17:00:46.656980
TXN54,CUST1820,MER134,55981.23,Germany,Debit Card,2026-05-29 05:56:04.469781
TXN55,CUST4198,MER318,95368.33,UK,UPI,2026-06-05 15:41:32.988531
TXN56,CUST852,MER297,65549.82,UK,Debit Card,2026-05-24 00:15:04.915624
TXN57,CUST1326,MER315,77547.96,Germany,UPI,2026-06-02 04:17:36.217171
TXN62,CUST1919,MER321,75718.24,UK,UPI,2026-06-06 15:12:10.736713
TXN67,CUST420,MER26,97402.9,Singapore,Credit Card,2026-05-27 11:21:46.433818
TXN69,CUST4180,MER476,50913.88,Singapore,Debit Card,2026-06-03 09:48:12.962539
TXN71,CUST2428,MER240,73499.56,Singapore,Net Banking,2026-06-03 11:27:59.474282
TXN72,CUST2978,MER256,93055.35,Germany,UPI,2026-05-26 20:50:21.677981
TXN73,CUST4083,MER480,82112.93,India,UPI,2026-05-28 11:40:43.501950
TXN75,CUST1981,MER371,65171.87,UK,Debit Card,2026-06-04 12:11:04.198171
TXN76,CUST1831,MER440,61528.05,USA,Net Banking,2026-06-13 22:18:43.586098
TXN77,CUST4790,MER146,77616.22,Germany,Debit Card,2026-06-04 09:33:02.521460
TXN83,CUST2871,MER443,60697.15,Germany,Credit Card,2026-05-31 21:46:43.170280
TXN85,CUST1246,MER129,53118.25,USA,Debit Card,2026-05-25 03:57:45.301470
TXN86,CUST4049,MER500,88737.85,India,UPI,2026-06-02 16:55:22.744031
TXN91,CUST3786,MER378,76434.88,India,UPI,2026-06-14 04:46:14.532672
TXN96,CUST4231,MER121,95739.58,USA,UPI,2026-05-31 15:17:20.653677
TXN97,CUST3727,MER468,99377.17,UK,Net Banking,2026-05-18 20:33:22.076410
TXN98,CUST2569,MER314,86940.35,India,Net Banking,2026-06-14 05:27:05.583412
TXN100,CUST3844,MER91,88168.86,USA,UPI,2026-06-12 18:43:31.456593
TXN101,CUST945,MER117,93406.92,India,Net Banking,2026-05-23 23:01:54.102683
TXN102,CUST478,MER185,53995.61,Singapore,UPI,2026-05-25 17:17:24.445182
TXN105,CUST1851,MER51,59586.05,USA,Credit Card,2026-05-18 01:45:39.240696
TXN106,CUST3171,MER105,59235.61,UK,Credit Card,2026-06-10 00:26:44.372401
TXN110,CUST3982,MER405,70270.14,India,UPI,2026-06-03 06:50:37.444710
TXN112,CUST1573,MER361,67033.78,Singapore,Debit Card,2026-05-31 03:29:40.193711
TXN114,CUST2487,MER344,59701.7,USA,UPI,2026-05-30 00:52:43.446107
TXN115,CUST4089,MER424,51446.22,Germany,UPI,2026-05-31 04:56:01.057658
TXN116,CUST1290,MER316,93933.22,Germany,Net Banking,2026-05-30 16:38:43.091489
TXN117,CUST3621,MER425,51045.71,UK,Credit Card,2026-06-09 11:05:32.871688
TXN118,CUST4918,MER350,69310.24,USA,Net Banking,2026-06-16 07:47:49.301154
TXN120,CUST96,MER449,52556.45,UK,UPI,2026-06-08 12:46:23.292974
TXN123,CUST1040,MER70,91583.85,Germany,Credit Card,2026-05-26 04:49:56.476104
TXN124,CUST865,MER327,96150.5,Singapore,Net Banking,2026-06-08 21:37:14.263421
TXN126,CUST4257,MER45,80999.72,USA,UPI,2026-05-28 16:20:52.713994
TXN127,CUST94,MER422,56022.05,USA,Credit Card,2026-05-29 16:08:13.356016
TXN128,CUST3696,MER103,58998.81,Singapore,Net Banking,2026-05-29 11:59:46.753143
TXN130,CUST1708,MER431,96178.9,USA,Credit Card,2026-05-23 04:40:37.862243
TXN132,CUST1110,MER311,86336.51,Singapore,Net Banking,2026-06-12 20:55:28.674782
TXN135,CUST4868,MER111,57995.18,UK,Net Banking,2026-05-28 11:27:59.716332
TXN136,CUST1603,MER59,53442.7,Singapore,Credit Card,2026-06-07 05:20:17.959944
TXN137,CUST4059,MER243,57076.88,Germany,Credit Card,2026-05-20 08:32:10.460374
TXN140,CUST4332,MER77,90964.46,Germany,Net Banking,2026-06-15 21:10:58.001259
TXN141,CUST1191,MER6,95422.19,USA,UPI,2026-05-24 17:48:47.771369
TXN142,CUST332,MER220,68822.46,USA,Credit Card,2026-05-27 21:38:28.090329
TXN144,CUST2371,MER417,99637.13,UK,Net Banking,2026-06-12 13:13:42.989826
TXN145,CUST3334,MER184,72063.86,Singapore,Net Banking,2026-06-13 13:52:27.510568
TXN147,CUST1395,MER59,63289.18,USA,UPI,2026-05-19 18:51:15.317462
TXN152,CUST2458,MER499,77996.93,Germany,Net Banking,2026-05-25 05:37:42.590395
TXN154,CUST4833,MER434,51263.03,USA,Credit Card,2026-06-02 22:18:17.519464
TXN158,CUST2561,MER437,69768.78,UK,Net Banking,2026-05-18 11:12:57.915176
TXN160,CUST4818,MER153,56306.76,India,Credit Card,2026-05-28 11:45:02.740077
TXN161,CUST2651,MER478,79479.34,India,Credit Card,2026-05-28 03:44:15.037332
TXN163,CUST1341,MER313,93938.74,USA,UPI,2026-05-23 14:03:07.380285
TXN164,CUST1707,MER413,91862.3,India,Credit Card,2026-06-12 04:25:24.044749
TXN165,CUST3513,MER175,77631.15,UK,UPI,2026-06-09 03:52:43.297698
TXN166,CUST2580,MER175,96726.28,Singapore,UPI,2026-06-11 01:38:53.263983
TXN167,CUST971,MER214,51282.89,Germany,Net Banking,2026-05-25 15:23:41.944934
TXN170,CUST4757,MER6,52691.79,Germany,Debit Card,2026-06-15 02:13:22.602551
TXN172,CUST1668,MER480,78246.0,Germany,Debit Card,2026-06-08 18:56:01.271706
TXN173,CUST3828,MER408,85789.76,UK,Credit Card,2026-05-30 07:04:39.157967
TXN179,CUST3816,MER411,50011.45,Singapore,Credit Card,2026-06-12 09:15:54.090133
TXN180,CUST1544,MER77,80273.08,India,Net Banking,2026-06-13 18:30:27.403727
TXN182,CUST2234,MER454,66404.83,Singapore,UPI,2026-06-14 01:51:04.034400
TXN183,CUST4510,MER384,89282.57,USA,UPI,2026-06-15 23:20:12.161095
TXN184,CUST656,MER487,89054.25,Germany,UPI,2026-05-20 05:55:14.266596
TXN191,CUST3408,MER48,63369.83,India,Debit Card,2026-05-17 20:04:44.048367
TXN194,CUST467,MER313,74818.02,USA,Net Banking,2026-05-22 10:14:07.573001
TXN198,CUST1188,MER193,68769.16,India,UPI,2026-05-23 02:10:04.850190
TXN199,CUST3702,MER282,65026.26,Germany,UPI,2026-06-15 23:59:16.171806
TXN202,CUST3407,MER207,89010.95,India,Credit Card,2026-05-20 03:50:49.359724
TXN203,CUST2223,MER70,83704.98,Singapore,UPI,2026-05-20 00:29:35.403940
TXN205,CUST2929,MER16,92130.16,Germany,Credit Card,2026-05-22 23:28:17.250676
TXN206,CUST3405,MER169,58595.4,USA,Credit Card,2026-05-25 07:28:23.805268
TXN212,CUST2497,MER355,58999.68,India,Debit Card,2026-05-24 22:22:47.350615
TXN213,CUST1161,MER55,97118.97,Germany,Credit Card,2026-06-11 22:28:43.859334
TXN218,CUST2653,MER477,55380.66,USA,Net Banking,2026-06-06 12:14:29.009071
TXN220,CUST158,MER26,54154.41,USA,UPI,2026-05-26 05:38:44.492950
TXN223,CUST937,MER233,89318.37,UK,Debit Card,2026-05-23 16:19:54.706071
TXN224,CUST3115,MER265,95283.36,India,Net Banking,2026-06-04 00:37:03.450693
TXN227,CUST4855,MER173,59461.69,USA,Debit Card,2026-05-26 09:38:54.996591
TXN229,CUST516,MER173,89001.92,USA,UPI,2026-06-12 08:17:32.690482
TXN230,CUST4462,MER199,87385.02,USA,UPI,2026-05-19 12:40:21.706742
TXN232,CUST379,MER417,81220.57,India,Debit Card,2026-06-15 09:59:46.905676
TXN236,CUST3724,MER61,69297.29,Germany,Net Banking,2026-05-27 09:30:06.601933
TXN239,CUST4997,MER197,81411.82,USA,UPI,2026-06-03 16:35:22.167927
TXN241,CUST2797,MER104,78861.83,UK,Debit Card,2026-06-06 16:54:40.772686
TXN244,CUST663,MER121,52242.62,India,Debit Card,2026-06-07 11:56:57.220111
TXN245,CUST285,MER358,85905.08,Germany,Debit Card,2026-05-25 10:39:58.488860
TXN247,CUST3202,MER473,53739.76,India,Debit Card,2026-06-03 12:17:24.401685
TXN248,CUST1882,MER55,84977.5,Singapore,Net Banking,2026-05-23 13:04:25.340711
TXN253,CUST2801,MER308,70327.16,Singapore,UPI,2026-05-19 16:56:17.441972
TXN255,CUST2048,MER2,73955.42,UK,Credit Card,2026-05-19 09:00:32.385830
TXN258,CUST1387,MER132,80279.51,UK,Credit Card,2026-05-29 01:01:49.572074
TXN259,CUST4522,MER428,58911.94,India,Net Banking,2026-05-29 14:31:16.025538
TXN261,CUST4934,MER444,65775.95,India,Credit Card,2026-05-27 05:19:54.605601
TXN263,CUST2686,MER170,63892.8,USA,Credit Card,2026-06-01 07:05:12.842376
TXN264,CUST4643,MER77,81682.89,UK,Debit Card,2026-05-26 18:05:31.587839
TXN266,CUST4101,MER403,74448.66,Germany,Debit Card,2026-06-01 08:14:50.568788
TXN267,CUST1024,MER163,95376.81,India,Debit Card,2026-05-24 00:58:44.030849
TXN268,CUST923,MER354,64241.89,USA,Credit Card,2026-06-15 08:16:54.578138
TXN270,CUST2373,MER443,96899.27,Singapore,Credit Card,2026-06-11 14:08:05.179474
TXN271,CUST1233,MER258,95456.67,UK,Credit Card,2026-06-13 14:36:02.212757
TXN273,CUST4391,MER260,60838.84,Singapore,Credit Card,2026-06-03 22:16:35.800230
TXN275,CUST2797,MER308,76259.61,India,Credit Card,2026-05-29 05:11:15.236716
TXN278,CUST283,MER199,89098.44,Germany,Net Banking,2026-06-03 09:15:27.414669
TXN279,CUST4087,MER48,65859.53,UK,Credit Card,2026-06-16 07:15:35.626701
TXN280,CUST1897,MER127,69458.81,USA,UPI,2026-05-31 06:19:29.299624
TXN282,CUST4295,MER314,75754.78,UK,Debit Card,2026-05-23 01:37:11.300460
TXN284,CUST4083,MER5,57272.2,India,Net Banking,2026-06-01 15:36:03.702785
TXN285,CUST2828,MER93,71787.27,UK,Credit Card,2026-06-11 17:34:22.563195
TXN287,CUST1422,MER130,99697.39,USA,Credit Card,2026-05-18 01:10:35.697855
TXN290,CUST4020,MER284,96053.05,Singapore,Credit Card,2026-05-29 14:23:54.787986
TXN292,CUST3329,MER295,69159.27,UK,Debit Card,2026-06-01 23:15:38.159949
TXN293,CUST4564,MER389,67940.7,India,Credit Card,2026-06-03 11:58:58.231145
TXN294,CUST2728,MER320,64436.96,Germany,Net Banking,2026-05-26 19:17:29.762142
TXN295,CUST4214,MER221,63548.2,Germany,Credit Card,2026-06-06 10:22:24.208453
TXN296,CUST4357,MER146,67739.64,Singapore,Net Banking,2026-06-09 12:36:39.688486
TXN297,CUST1393,MER417,69918.8,USA,Net Banking,2026-06-03 21:14:33.321637
TXN298,CUST3312,MER279,67422.16,Germany,Debit Card,2026-06-15 21:03:15.133602
TXN301,CUST4148,MER14,59786.95,USA,Debit Card,2026-06-14 11:19:35.056429
TXN303,CUST126,MER322,81700.06,USA,Credit Card,2026-06-02 06:31:39.368113
TXN306,CUST924,MER164,85135.96,USA,Debit Card,2026-06-12 17:50:54.842723
TXN308,CUST76,MER312,72572.58,USA,Credit Card,2026-06-04 11:30:15.056276
TXN311,CUST405,MER4,73240.42,UK,Credit Card,2026-05-30 13:13:02.833994
TXN312,CUST4418,MER448,95596.8,India,Credit Card,2026-06-15 08:59:24.084295
TXN313,CUST4530,MER314,52789.28,UK,Net Banking,2026-06-06 22:38:10.148710
TXN314,CUST1795,MER88,65302.61,USA,Credit Card,2026-05-21 10:59:15.308883
TXN315,CUST4750,MER277,83473.41,USA,UPI,2026-06-11 07:30:00.129145
TXN317,CUST4568,MER247,90225.76,UK,Debit Card,2026-06-10 21:11:57.178181
TXN318,CUST1414,MER241,84582.81,Singapore,UPI,2026-05-23 11:00:44.744901
TXN321,CUST4992,MER65,88889.85,India,Debit Card,2026-05-21 23:40:16.833008
TXN322,CUST786,MER415,55253.51,USA,Net Banking,2026-05-19 18:18:27.261302
TXN323,CUST2588,MER265,88673.87,Germany,Debit Card,2026-06-11 07:12:24.724363
TXN328,CUST2160,MER311,78579.85,UK,Net Banking,2026-06-03 02:23:23.044433
TXN329,CUST1580,MER264,71600.72,UK,UPI,2026-06-06 04:41:23.893239
TXN330,CUST1089,MER98,94547.68,Germany,UPI,2026-05-24 05:55:33.213086
TXN333,CUST1051,MER210,64667.87,India,UPI,2026-05-17 23:45:08.572458
TXN336,CUST152,MER376,90189.99,Germany,UPI,2026-06-10 04:32:53.654991
TXN337,CUST1694,MER325,96581.93,UK,Debit Card,2026-05-31 03:45:53.360178
TXN338,CUST1963,MER459,53297.59,India,Credit Card,2026-05-28 03:28:29.724989
TXN340,CUST1350,MER221,92153.45,Singapore,UPI,2026-06-01 13:15:38.232756
TXN342,CUST476,MER215,70667.88,UK,Credit Card,2026-05-25 00:48:22.306260
TXN343,CUST3661,MER338,53460.65,UK,UPI,2026-05-25 10:18:57.558344
TXN344,CUST2496,MER18,60669.25,USA,Debit Card,2026-05-19 23:53:45.314894
TXN346,CUST4131,MER33,59087.66,Singapore,Net Banking,2026-06-12 15:55:46.348461
TXN347,CUST1595,MER136,68110.46,UK,Debit Card,2026-05-21 13:57:12.760605
TXN351,CUST4246,MER275,51022.01,USA,UPI,2026-06-02 02:25:26.924328
TXN353,CUST1672,MER69,92516.94,India,Credit Card,2026-06-10 00:20:16.121569
TXN354,CUST2614,MER27,97140.69,USA,Debit Card,2026-05-22 01:11:31.927440
TXN358,CUST604,MER490,72023.88,Singapore,Debit Card,2026-05-20 03:07:32.037006
TXN359,CUST3407,MER91,93210.18,USA,UPI,2026-06-04 15:38:43.696255
TXN364,CUST364,MER13,72213.76,India,UPI,2026-05-28 04:07:42.190141
TXN365,CUST3164,MER316,86474.75,India,Net Banking,2026-05-29 20:54:35.220879
TXN368,CUST2958,MER51,86873.55,USA,Debit Card,2026-06-09 11:44:21.547894
TXN370,CUST1584,MER247,72546.41,Germany,UPI,2026-05-31 02:56:51.343315
TXN371,CUST4500,MER33,80988.54,Germany,Net Banking,2026-06-04 04:25:56.724511
TXN372,CUST1054,MER37,57377.25,Singapore,Debit Card,2026-06-07 23:21:00.070868
TXN374,CUST1399,MER411,52160.53,USA,Debit Card,2026-06-03 21:04:52.721187
TXN378,CUST627,MER468,51529.09,Singapore,Credit Card,2026-06-04 02:20:28.659160
TXN380,CUST803,MER402,58366.15,Germany,Debit Card,2026-06-03 03:24:09.285326
TXN383,CUST4595,MER478,61236.88,USA,Debit Card,2026-05-22 12:09:28.023793
TXN386,CUST1299,MER463,90885.6,Germany,UPI,2026-05-26 00:22:27.934670
TXN387,CUST3995,MER148,62311.27,Singapore,Credit Card,2026-05-21 20:38:37.108382
TXN389,CUST142,MER380,77038.25,Singapore,UPI,2026-05-26 13:29:49.257035
TXN395,CUST2859,MER441,93222.01,USA,Net Banking,2026-05-20 16:13:56.704877
TXN399,CUST1313,MER38,79240.29,UK,UPI,2026-06-11 16:07:21.811691
TXN403,CUST3120,MER275,65243.0,USA,Net Banking,2026-05-17 18:08:23.245775
TXN405,CUST4664,MER342,97720.77,Germany,Credit Card,2026-06-02 18:06:06.115874
TXN407,CUST78,MER331,93070.33,Germany,Debit Card,2026-06-12 02:35:37.155523
TXN408,CUST2967,MER488,87085.51,Germany,Debit Card,2026-06-08 01:25:12.954078
TXN409,CUST2778,MER104,66287.04,Singapore,Net Banking,2026-05-26 06:09:51.777239
TXN413,CUST2347,MER298,94199.36,Germany,Net Banking,2026-05-29 23:54:40.441393
TXN416,CUST4097,MER32,54278.98,UK,UPI,2026-05-23 01:39:47.470869
TXN419,CUST1502,MER316,71056.48,USA,Net Banking,2026-05-18 00:29:31.115490
TXN420,CUST1422,MER6,64255.77,USA,UPI,2026-05-24 16:18:32.377107
TXN423,CUST4500,MER362,52495.66,USA,Debit Card,2026-06-01 03:06:57.064756
TXN425,CUST3252,MER218,85712.4,USA,Credit Card,2026-05-28 10:49:19.246707
TXN426,CUST1252,MER217,53838.8,India,Credit Card,2026-05-24 08:54:27.139041
TXN428,CUST3530,MER490,67715.78,Singapore,UPI,2026-06-02 13:13:27.462751
TXN429,CUST4229,MER324,68055.95,Germany,Net Banking,2026-06-05 19:41:53.990690
TXN430,CUST3579,MER296,87286.49,Singapore,Net Banking,2026-06-04 15:17:53.551858
TXN432,CUST1294,MER379,53748.12,UK,UPI,2026-05-18 19:45:59.231270
TXN434,CUST1929,MER159,69232.77,Germany,Net Banking,2026-05-24 16:47:34.022512
TXN439,CUST4958,MER354,56498.91,USA,UPI,2026-06-12 19:05:14.747188
TXN445,CUST59,MER344,56977.79,USA,UPI,2026-06-08 23:31:47.426827
TXN446,CUST2937,MER377,87304.72,UK,Net Banking,2026-06-06 15:13:44.536877
TXN447,CUST490,MER171,75228.29,Germany,UPI,2026-05-20 01:41:59.178551
TXN448,CUST965,MER493,88840.99,Germany,Credit Card,2026-06-09 07:07:52.906965
TXN449,CUST3211,MER316,93214.82,Germany,UPI,2026-06-07 02:41:20.922028
TXN450,CUST3879,MER361,69807.52,UK,Net Banking,2026-06-15 05:08:03.055699
TXN451,CUST1873,MER139,89988.92,Singapore,Credit Card,2026-06-12 04:03:07.651927
TXN454,CUST1675,MER158,83057.47,Germany,Net Banking,2026-06-03 07:21:43.266165
TXN455,CUST349,MER176,75456.31,USA,Credit Card,2026-05-24 21:53:11.076375
TXN456,CUST3610,MER349,68817.66,Germany,UPI,2026-05-23 21:19:41.508605
TXN457,CUST1448,MER163,57164.59,Singapore,UPI,2026-05-23 09:52:58.861018
TXN459,CUST1475,MER456,94117.95,Singapore,Net Banking,2026-05-22 04:29:34.291423
TXN461,CUST3932,MER441,54089.86,Germany,Net Banking,2026-05-26 02:22:38.950444
TXN463,CUST1531,MER220,50722.47,Germany,Debit Card,2026-06-08 23:16:54.403985
TXN468,CUST470,MER227,78124.78,Germany,UPI,2026-05-25 01:13:59.711179
TXN470,CUST461,MER42,55610.75,USA,Debit Card,2026-06-04 18:32:48.470005
TXN472,CUST399,MER61,82934.01,Singapore,Net Banking,2026-06-14 12:34:02.995269
TXN474,CUST4740,MER59,63581.44,Germany,Debit Card,2026-06-10 15:17:05.903853
TXN477,CUST1168,MER94,72371.48,UK,Debit Card,2026-05-17 21:33:09.407943
TXN478,CUST3701,MER377,62025.82,Germany,Credit Card,2026-06-04 20:27:42.195365
TXN479,CUST1910,MER218,89676.0,Singapore,UPI,2026-06-01 23:11:49.852616
TXN481,CUST3547,MER209,80014.77,Singapore,Credit Card,2026-05-26 11:06:37.545834
TXN484,CUST3456,MER313,78619.09,UK,UPI,2026-06-06 05:25:53.195976
TXN485,CUST3257,MER14,78309.35,Singapore,Net Banking,2026-05-21 07:50:48.345066
TXN488,CUST3796,MER39,92910.16,UK,UPI,2026-05-24 03:28:21.177524
TXN489,CUST2635,MER386,85410.57,USA,UPI,2026-06-03 09:49:43.296982
TXN490,CUST4325,MER471,91062.62,India,Net Banking,2026-05-30 08:59:43.576800
TXN492,CUST1987,MER109,78751.51,UK,Net Banking,2026-05-21 06:54:32.267983
TXN496,CUST2315,MER338,55675.43,UK,Net Banking,2026-06-10 19:18:46.066862
TXN497,CUST1109,MER494,66664.2,Germany,Credit Card,2026-05-30 09:01:05.287157
TXN499,CUST4928,MER434,63954.0,USA,Credit Card,2026-05-23 22:15:45.272391
TXN501,CUST3991,MER312,52566.86,Singapore,Net Banking,2026-06-05 14:34:03.819364
TXN502,CUST4229,MER205,84810.49,UK,UPI,2026-06-03 13:02:39.514386
TXN503,CUST816,MER46,83679.45,India,UPI,2026-05-22 12:12:08.240320
TXN504,CUST1670,MER284,56951.88,India,Debit Card,2026-05-19 08:37:07.965277
TXN505,CUST4208,MER334,89653.44,USA,Debit Card,2026-06-06 01:01:22.555228
TXN506,CUST1518,MER260,73275.33,India,Credit Card,2026-06-03 00:37:05.044381
TXN508,CUST4321,MER113,54224.2,India,Net Banking,2026-05-20 20:08:31.981251
TXN513,CUST3264,MER163,51875.99,USA,Net Banking,2026-05-31 18:17:24.868834
TXN515,CUST1599,MER490,92329.63,UK,UPI,2026-06-12 01:39:38.797497
TXN519,CUST3977,MER100,85001.59,Singapore,Credit Card,2026-05-27 11:35:12.814012
TXN524,CUST840,MER217,67015.7,Singapore,Net Banking,2026-05-23 14:33:36.989472
TXN525,CUST4561,MER159,99635.9,Germany,Debit Card,2026-06-13 15:14:14.226540
TXN527,CUST112,MER491,90268.21,India,Debit Card,2026-06-08 04:07:22.525057
TXN528,CUST3285,MER190,77879.35,Germany,Net Banking,2026-05-31 18:36:15.420700
TXN529,CUST3416,MER180,94181.93,Singapore,Debit Card,2026-05-28 22:18:19.663896
TXN532,CUST4874,MER421,72696.66,UK,Net Banking,2026-06-07 17:59:00.779415
TXN536,CUST811,MER138,96894.48,Singapore,Debit Card,2026-06-11 18:57:45.103584
TXN537,CUST2664,MER305,57753.11,UK,Net Banking,2026-06-16 10:48:03.282128
TXN539,CUST1757,MER32,62773.59,USA,UPI,2026-05-20 00:00:32.108645
TXN541,CUST4283,MER451,81653.32,UK,Net Banking,2026-05-28 12:23:28.714775
TXN544,CUST3612,MER459,60171.55,Germany,UPI,2026-06-12 15:21:10.736367
TXN545,CUST39,MER339,65715.41,UK,Debit Card,2026-05-30 11:02:44.150669
TXN548,CUST2820,MER202,82584.75,Singapore,Debit Card,2026-06-15 12:39:03.276794
TXN549,CUST4858,MER144,57501.09,Singapore,Net Banking,2026-06-13 05:31:51.254802
TXN552,CUST218,MER437,62544.84,UK,Net Banking,2026-06-10 11:01:29.005381
TXN556,CUST4579,MER186,51892.82,UK,UPI,2026-05-23 06:09:28.448382
TXN558,CUST4938,MER326,67176.93,USA,Credit Card,2026-06-10 18:52:58.697817
TXN559,CUST1744,MER122,53781.08,Germany,Net Banking,2026-05-30 10:29:20.992265
TXN564,CUST4537,MER19,78824.37,UK,Debit Card,2026-06-13 17:08:01.841956
TXN567,CUST1632,MER312,91540.26,UK,UPI,2026-05-31 21:45:59.055360
TXN570,CUST2975,MER206,77330.62,India,Credit Card,2026-05-25 09:09:13.534139
TXN573,CUST3452,MER202,96278.7,Germany,Credit Card,2026-05-27 13:45:52.015372
TXN574,CUST3194,MER317,93928.58,Germany,Credit Card,2026-06-01 21:53:56.127572
TXN575,CUST2581,MER453,68073.69,UK,Net Banking,2026-05-25 23:13:17.915341
TXN576,CUST4283,MER479,65509.63,India,UPI,2026-05-29 16:37:43.995827
TXN577,CUST1913,MER370,70656.38,Singapore,UPI,2026-06-03 12:33:39.849105
TXN579,CUST1948,MER191,58627.19,USA,Debit Card,2026-06-14 04:00:00.561466
TXN583,CUST3272,MER320,70652.0,USA,Credit Card,2026-05-30 08:14:51.195638
TXN584,CUST451,MER108,78884.52,Singapore,Credit Card,2026-06-09 19:38:21.343597
TXN585,CUST2878,MER223,72056.62,Singapore,UPI,2026-05-29 11:21:09.062265
TXN586,CUST836,MER10,55312.87,India,UPI,2026-06-07 22:06:50.089385
TXN588,CUST3305,MER277,97622.21,Singapore,Credit Card,2026-05-26 01:38:10.326151
TXN590,CUST4222,MER180,60318.39,USA,Net Banking,2026-06-06 08:25:29.895556
TXN592,CUST1087,MER147,52445.92,India,Net Banking,2026-05-24 15:57:00.049795
TXN596,CUST252,MER74,95421.22,UK,Credit Card,2026-06-09 10:03:59.321972
TXN599,CUST2011,MER71,96496.96,Germany,Net Banking,2026-05-29 18:52:04.498818
TXN600,CUST2841,MER332,83134.92,Germany,Debit Card,2026-06-05 15:35:47.960893
TXN602,CUST1263,MER239,79978.6,Germany,Credit Card,2026-06-05 13:09:05.842320
TXN610,CUST4068,MER450,60184.9,India,Net Banking,2026-05-19 00:03:16.498050
TXN613,CUST2348,MER448,83761.41,USA,Credit Card,2026-05-18 09:24:54.835469
TXN618,CUST10,MER64,65753.77,Germany,Credit Card,2026-06-07 12:21:51.180354
TXN619,CUST2115,MER466,94030.57,UK,Credit Card,2026-05-28 11:43:49.965463
TXN624,CUST4260,MER346,51428.55,UK,UPI,2026-06-09 03:15:01.846784
TXN626,CUST2106,MER448,82174.63,Singapore,UPI,2026-06-06 05:49:36.609103
TXN627,CUST2045,MER72,83776.18,Germany,Debit Card,2026-05-21 04:08:13.741164
TXN628,CUST3468,MER309,58112.58,UK,Net Banking,2026-05-18 13:37:15.596107
TXN629,CUST549,MER213,67856.53,USA,UPI,2026-05-27 15:12:40.057190
TXN633,CUST2192,MER105,61386.74,India,UPI,2026-06-12 17:20:04.303307
TXN636,CUST3232,MER432,94577.03,India,Net Banking,2026-05-21 13:27:47.876428
TXN637,CUST4560,MER435,90481.53,India,Credit Card,2026-05-20 02:50:36.506072
TXN639,CUST2446,MER230,78083.35,USA,UPI,2026-05-24 17:35:23.595887
TXN649,CUST2132,MER295,75395.02,UK,UPI,2026-05-19 05:07:31.282749
TXN650,CUST4523,MER418,98851.01,Germany,Credit Card,2026-06-12 13:18:31.029866
TXN651,CUST2320,MER115,87241.31,UK,Net Banking,2026-05-28 15:55:52.006331
TXN652,CUST4990,MER306,56589.06,India,Credit Card,2026-05-22 07:46:41.380234
TXN653,CUST36,MER151,97506.28,UK,Net Banking,2026-05-21 07:27:17.169244
